,Mouse ID,Drug,Timepoint,Tumor Volume (mm3),Metastatic Sites
50,g989,Stelasyn,20,54.6576500822,1
51,g989,Stelasyn,25,56.0455635335,1
52,g989,Stelasyn,30,59.0822939412,1
53,g989,Stelasyn,35,62.5708796137,2
54,g989,Propriva,0,45.0,0
55,g989,Propriva,0,45.0,0
56,g989,Propriva,5,48.786801463500005,0
57,g989,Propriva,5,47.5703920761,0
58,g989,Propriva,10,51.7451561314,0
59,g989,Propriva,10,49.8805278017,0
60,g989,Propriva,15,51.3258520692,1
61,g989,Propriva,15,53.442019761000005,0
62,g989,Propriva,20,55.3261220232,1
63,g989,Propriva,20,54.6576500822,1
64,g989,Propriva,25,56.0455635335,1
65,g989,Propriva,30,59.0822939412,1
66,g989,Propriva,35,62.5708796137,2
67,m269,Stelasyn,0,45.0,0
68,m269,Stelasyn,5,49.0111800953,0
69,m269,Stelasyn,10,50.86013006100001,0
70,m269,Stelasyn,15,55.9053435986,0
71,m269,Stelasyn,20,61.1458663804,0
72,m269,Stelasyn,25,64.8930197554,0
73,m269,Stelasyn,30,67.71250988220001,1
74,m269,Stelasyn,35,68.689917354,1
75,m269,Stelasyn,40,70.21464418640001,1
76,m269,Stelasyn,45,75.1236895484,1
77,a963,Stelasyn,0,45.0,0
78,a963,Stelasyn,5,46.23350580859999,0
79,a963,Stelasyn,10,47.1505220053,0
80,a963,Stelasyn,15,47.8368521776,0
81,a963,Stelasyn,20,51.4637344829,0
82,a963,Stelasyn,25,52.1298037405,0
83,a963,Stelasyn,30,53.4016673771,1
84,a963,Stelasyn,35,56.8139764581,1
85,a963,Stelasyn,40,58.4637868525,1
86,a963,Stelasyn,45,62.76509316520001,1
87,t451,Stelasyn,0,45.0,0
88,t451,Stelasyn,5,48.0471388219,0
89,t451,Stelasyn,10,48.957919057,0
90,t451,Stelasyn,15,49.652787722700005,0
91,t451,Stelasyn,20,51.063677928999994,0
92,t451,Stelasyn,25,55.527553445200006,0
93,t451,Stelasyn,30,59.2758226844,0
94,t451,Stelasyn,35,63.7569896424,0
95,t451,Stelasyn,40,67.654795994,1
96,t451,Stelasyn,45,68.711630197,1
97,p981,Stelasyn,0,45.0,0
98,p981,Stelasyn,5,47.000627172799994,0
99,p981,Stelasyn,10,47.5458458532,0
100,p981,Stelasyn,15,49.6577097279,0
101,p981,Stelasyn,20,50.3580694704,0
102,p981,Stelasyn,25,52.5447048014,1
103,p981,Stelasyn,30,56.3391043173,1
104,p981,Stelasyn,35,59.1310229741,1
105,k510,Stelasyn,0,45.0,0
106,k510,Stelasyn,5,46.6084671022,0
107,k510,Stelasyn,10,47.658249795500005,1
108,k510,Stelasyn,15,49.6870516988,1
109,k510,Stelasyn,20,52.105573819300005,1
110,h333,Stelasyn,0,45.0,0
111,h333,Stelasyn,5,45.75172728020001,0
112,h333,Stelasyn,10,46.233844138900004,1
113,h333,Stelasyn,15,50.692603580299995,2
114,h333,Stelasyn,20,51.997806181099996,2
115,h333,Stelasyn,25,53.7309143434,2
116,h333,Stelasyn,30,55.4552897489,2
117,c402,Stelasyn,0,45.0,0
118,c402,Stelasyn,5,49.3426301024,1
119,c402,Stelasyn,10,50.5668941174,1
120,c402,Stelasyn,15,52.2307194355,1
121,c402,Stelasyn,20,54.883320442700004,2
122,c402,Stelasyn,25,58.269888527,2
123,c402,Stelasyn,30,63.7431942843,2
124,c402,Stelasyn,35,65.80796270020001,2
125,c402,Stelasyn,40,70.2222967893,2
126,c402,Stelasyn,45,74.0403901771,3
127,j984,Stelasyn,0,45.0,0
128,j984,Stelasyn,5,48.4107210949,1
129,j984,Stelasyn,10,50.14108401399999,1
130,j984,Stelasyn,15,51.166756873100006,1
131,j984,Stelasyn,20,54.37251566689999,1
132,j984,Stelasyn,25,57.0643547939,1
133,j984,Stelasyn,30,61.2405057258,1
134,j984,Stelasyn,35,64.0553989564,1
135,j984,Stelasyn,40,67.7770803588,1
136,j984,Stelasyn,45,70.6538316181,1
137,w697,Stelasyn,0,45.0,0
138,w697,Stelasyn,5,48.3018226056,1
139,w697,Stelasyn,10,48.9250560049,2
140,w697,Stelasyn,15,52.657265186800004,2
141,w697,Stelasyn,20,54.2280909812,3
142,w697,Stelasyn,25,57.610394297,3
143,w697,Stelasyn,30,60.7206359101,3
144,w697,Stelasyn,35,63.6890421576,3
145,s619,Stelasyn,0,45.0,0
146,s619,Stelasyn,5,46.6022687751,0
147,g867,Stelasyn,0,45.0,0
148,g867,Stelasyn,5,46.8807491586,0
149,g867,Stelasyn,10,48.1834016703,0
150,g867,Stelasyn,15,51.0604192395,1
151,k862,Stelasyn,0,45.0,0
152,k862,Stelasyn,5,49.2030578603,0
153,k862,Stelasyn,10,50.5235500683,1
154,k862,Stelasyn,15,54.4745336208,1
155,k862,Stelasyn,20,57.057848183500006,1
156,k862,Stelasyn,25,58.719297297299995,2
157,k862,Stelasyn,30,60.605439789799995,3
158,k862,Stelasyn,35,66.5807224433,3
159,k862,Stelasyn,40,67.5713412826,4
160,k862,Stelasyn,45,69.2991490732,4
161,i901,Stelasyn,0,45.0,0
162,i901,Stelasyn,5,46.493023919399995,0
163,i901,Stelasyn,10,50.4212498188,0
164,i901,Stelasyn,15,51.4196423913,0
165,i901,Stelasyn,20,55.9744050244,0
166,i901,Stelasyn,25,56.5751949982,0
167,i901,Stelasyn,30,60.5918575471,0
168,i901,Stelasyn,35,62.1273356091,0
169,i901,Stelasyn,40,64.3034545102,0
170,i901,Stelasyn,45,65.3418108738,0
171,b879,Stelasyn,0,45.0,0
172,b879,Stelasyn,5,49.1561562774,1
173,b879,Stelasyn,10,50.3389458287,1
174,b879,Stelasyn,15,51.6183865728,1
175,b879,Stelasyn,20,53.9834356818,1
176,b879,Stelasyn,25,56.4699874382,2
177,b879,Stelasyn,30,60.9076148061,2
178,b879,Stelasyn,35,64.2608863279,2
179,b879,Stelasyn,40,67.1891266642,2
180,b879,Stelasyn,45,72.5552389364,2
181,p387,Stelasyn,0,45.0,0
182,p387,Stelasyn,5,48.6676307472,0
183,p387,Stelasyn,10,53.362962941000006,0
184,p387,Stelasyn,15,55.2513803256,0
185,p387,Stelasyn,20,56.5876167975,0
186,p387,Stelasyn,25,58.098489458500005,0
187,p387,Stelasyn,30,63.2692455226,0
188,p387,Stelasyn,35,66.4922037978,1
189,p387,Stelasyn,40,69.0388761787,1
190,a366,Stelasyn,0,45.0,0
191,a366,Stelasyn,5,48.9513677307,0
192,a366,Stelasyn,10,53.523990068500005,0
193,a366,Stelasyn,15,55.265581626899994,0
194,a366,Stelasyn,20,57.2859874161,0
195,a366,Stelasyn,25,59.0117281702,0
196,a366,Stelasyn,30,63.440686273599994,1
197,s565,Stelasyn,0,45.0,0
198,s565,Stelasyn,5,48.2425521816,0
199,s565,Stelasyn,10,52.7775270975,0
200,s565,Stelasyn,15,54.328316635,1
201,s565,Stelasyn,20,57.0461891185,1
202,s565,Stelasyn,25,58.5536107924,1
203,s565,Stelasyn,30,63.6689667821,1
204,s565,Stelasyn,35,64.77657908649999,2
205,s565,Stelasyn,40,67.2210069793,2
206,s565,Stelasyn,45,72.58896446770001,2
207,j755,Naftisol,0,45.0,0
208,j755,Naftisol,5,47.242843570299996,0
209,j755,Naftisol,10,48.167060829499995,0
210,j755,Naftisol,15,51.4539739071,0
211,j755,Naftisol,20,55.49660752810001,1
212,j755,Naftisol,25,58.055818216400006,1
213,j755,Naftisol,30,60.0072097835,1
214,j755,Naftisol,35,62.732857600500004,1
215,j755,Naftisol,40,67.2077102951,1
216,j755,Naftisol,45,69.56362075979999,1
217,e213,Naftisol,0,45.0,0
218,e213,Naftisol,5,45.699250182600004,1
219,e213,Naftisol,10,47.39157120229999,2
220,e213,Naftisol,15,51.791695296099995,2
221,e213,Naftisol,20,52.6137628852,2
222,e213,Naftisol,25,55.224476148,2
223,e213,Naftisol,30,56.458728642299995,3
224,e213,Naftisol,35,58.2458543541,3
225,e213,Naftisol,40,60.2365479716,3
226,e213,Naftisol,45,63.105696295200005,4
227,e584,Naftisol,0,45.0,0
228,e584,Naftisol,5,45.656978496,0
229,e584,Naftisol,10,47.2506414788,0
230,e584,Naftisol,15,48.4304105275,1
231,e584,Naftisol,20,50.344920952799995,2
232,e584,Naftisol,25,51.3864190841,2
233,e584,Naftisol,30,54.9844076668,3
234,e584,Naftisol,35,58.0865598876,3
235,e584,Naftisol,40,62.8168708302,4
236,e584,Naftisol,45,68.3597766991,4
237,e291,Naftisol,0,45.0,0
238,e291,Naftisol,5,46.1425048634,0
239,e291,Naftisol,10,48.5297412455,1
240,e291,Naftisol,15,49.3484262002,1
241,e291,Naftisol,20,52.533764786999996,1
242,e291,Naftisol,25,55.1389525025,2
243,z795,Naftisol,0,45.0,0
244,z795,Naftisol,5,46.833474934799995,0
245,z795,Naftisol,10,48.030803902399995,0
246,z795,Naftisol,15,49.3681318879,1
247,z795,Naftisol,20,53.2806571743,1
248,z795,Naftisol,25,57.9470998402,2
249,z795,Naftisol,30,59.789635903999994,2
250,z795,Naftisol,35,60.435654163900004,2
251,z795,Naftisol,40,62.3766388411,3
252,z795,Naftisol,45,65.74107029390001,3
253,x264,Naftisol,0,45.0,0
254,x264,Naftisol,5,47.0384145045,0
255,x264,Naftisol,10,47.8871276545,1
256,x264,Naftisol,15,50.0023140274,1
257,x264,Naftisol,20,53.074269727,1
258,x264,Naftisol,25,56.8910528277,2
259,x264,Naftisol,30,58.1586942342,3
260,x264,Naftisol,35,61.2996077776,4
261,x264,Naftisol,40,63.2832882078,4
262,v199,Naftisol,0,45.0,0
263,r701,Naftisol,0,45.0,0
264,r701,Naftisol,5,46.886971367,0
265,r701,Naftisol,10,49.6545963593,0
266,r701,Naftisol,15,52.4848044296,0
267,r701,Naftisol,20,54.114137417799995,0
268,r701,Naftisol,25,57.89848998,1
269,r701,Naftisol,30,60.3418187213,1
270,r701,Naftisol,35,64.730010445,1
271,r701,Naftisol,40,66.6407217789,1
272,r701,Naftisol,45,69.7785440734,1
273,t724,Naftisol,0,45.0,0
274,t724,Naftisol,5,46.359258294300005,0
275,t724,Naftisol,10,50.703899650699995,0
276,t724,Naftisol,15,55.584617236499994,0
277,t724,Naftisol,20,57.229409142799994,0
278,t724,Naftisol,25,59.826067973,1
279,t724,Naftisol,30,64.2345946982,2
280,t724,Naftisol,35,67.7443279491,2
281,t724,Naftisol,40,69.7283255901,2
282,t724,Naftisol,45,75.1132880077,2
283,a818,Naftisol,0,45.0,0
284,a818,Naftisol,5,45.696708639499995,0
285,a818,Naftisol,10,49.7909194758,0
286,a818,Naftisol,15,51.227565649700004,0
287,a818,Naftisol,20,54.8346244991,0
288,a818,Naftisol,25,56.9662733232,0
289,a818,Naftisol,30,60.0723719791,0
290,a818,Naftisol,35,63.298545858400004,0
291,a818,Naftisol,40,69.2738137369,1
292,a818,Naftisol,45,74.9977644288,2
293,v295,Naftisol,0,45.0,0
294,v295,Naftisol,5,46.111817974,1
295,v295,Naftisol,10,47.539462157299994,2
296,v295,Naftisol,15,50.6660539088,2
297,v295,Naftisol,20,55.731375354899996,3
298,v295,Naftisol,25,57.6918591767,3
299,v295,Naftisol,30,59.3337720245,3
300,v295,Naftisol,35,61.8931526689,3
301,v295,Naftisol,40,65.4660744433,3
302,m133,Naftisol,0,45.0,0
303,m133,Naftisol,5,46.621301269700005,0
304,m133,Naftisol,10,47.5033380291,0
305,m133,Naftisol,15,48.6652074029,1
306,m133,Naftisol,20,52.636882487,1
307,m133,Naftisol,25,54.0824366171,2
308,l725,Naftisol,0,45.0,0
309,l725,Naftisol,5,48.7363188117,1
310,l725,Naftisol,10,50.8239115379,2
311,l725,Naftisol,15,54.24456268310001,2
312,l725,Naftisol,20,59.615154796800006,2
313,l725,Naftisol,25,65.008828889,2
314,l725,Naftisol,30,66.5995451484,3
315,l725,Naftisol,35,69.125701726,3
316,l725,Naftisol,40,73.69349381880001,3
317,l725,Naftisol,45,76.66881741729999,3
318,x336,Naftisol,0,45.0,0
319,l700,Naftisol,0,45.0,0
320,l700,Naftisol,5,45.918371650699996,0
321,l700,Naftisol,10,47.013566517700006,1
322,l700,Naftisol,15,49.040225293999995,1
323,l700,Naftisol,20,50.7347681083,1
324,l700,Naftisol,25,54.234501806400004,1
325,l700,Naftisol,30,56.6532149954,1
326,l700,Naftisol,35,61.4626035412,1
327,l700,Naftisol,40,62.9866779843,1
328,l700,Naftisol,45,63.9466404372,1
329,n304,Naftisol,0,45.0,0
330,n304,Naftisol,5,46.431216293199995,0
331,n304,Naftisol,10,47.201250968400004,0
332,n304,Naftisol,15,48.477978952,0
333,n304,Naftisol,20,49.2533086334,1
334,n304,Naftisol,25,53.970859244799996,2
335,n304,Naftisol,30,55.0390198529,3
336,n304,Naftisol,35,57.12241925560001,4
337,n304,Naftisol,40,59.8305066732,4
338,n304,Naftisol,45,63.5863951382,4
339,r604,Naftisol,0,45.0,0
340,r604,Naftisol,5,47.067744482399995,1
341,r604,Naftisol,10,48.7865595745,1
342,r604,Naftisol,15,51.0745207273,1
343,r604,Naftisol,20,51.9027529201,1
344,r604,Naftisol,25,52.9368581162,1
345,r604,Naftisol,30,54.688215356,2
346,r604,Naftisol,35,59.217000146000004,2
347,r604,Naftisol,40,60.1861153114,2
348,r604,Naftisol,45,62.670759039,3
349,v835,Naftisol,0,45.0,0
350,v835,Naftisol,5,47.1560107135,0
351,v835,Naftisol,10,48.9659179711,0
352,v835,Naftisol,15,50.5452064621,1
353,v835,Naftisol,20,51.296542658999996,2
354,z969,Naftisol,0,45.0,0
355,z969,Naftisol,5,49.3329987284,0
356,z969,Naftisol,10,52.6560814792,1
357,z969,Naftisol,15,54.713004523900004,2
358,z969,Naftisol,20,57.8987782255,2
359,z969,Naftisol,25,63.1456521274,2
360,z969,Naftisol,30,65.8410127448,3
361,z969,Naftisol,35,69.17624606689999,4
362,z969,Naftisol,40,70.3149041142,4
363,z969,Naftisol,45,73.8678447583,4
364,o725,Naftisol,0,45.0,0
365,o725,Naftisol,5,46.88982097939999,0
366,o725,Naftisol,10,48.199451995100006,0
367,o725,Naftisol,15,50.0150790177,1
368,y601,Naftisol,0,45.0,0
369,y601,Naftisol,5,48.4750027309,1
370,x930,Naftisol,0,45.0,0
371,x930,Naftisol,5,46.078233754799996,0
372,x930,Naftisol,10,50.2606944112,0
373,x930,Naftisol,15,51.9737686396,0
374,x930,Naftisol,20,52.5560657478,0
375,x930,Naftisol,25,53.726101300699995,0
376,b559,Naftisol,0,45.0,0
377,b559,Naftisol,5,47.409897307,0
378,b559,Naftisol,10,48.0364320179,0
379,b559,Naftisol,15,51.3788622899,0
380,b559,Naftisol,20,55.654455716899996,1
381,b559,Naftisol,25,57.043669290699995,1
382,b559,Naftisol,30,61.19038662609999,1
383,b559,Naftisol,35,65.7057627543,1
384,b559,Naftisol,40,69.9696164479,1
385,b559,Naftisol,45,73.0513633905,1
386,z234,Naftisol,0,45.0,0
387,z234,Naftisol,5,46.129357058500005,1
388,f993,Naftisol,0,45.0,0
389,f993,Naftisol,5,46.3957596587,0
390,f993,Naftisol,10,48.1853732268,0
391,f993,Naftisol,15,49.1069747343,1
392,f993,Naftisol,20,52.0795100926,1
393,q119,Ketapril,0,45.0,0
394,q119,Ketapril,5,47.864440003199995,0
395,q119,Ketapril,10,51.236605572399995,0
396,n923,Ketapril,0,45.0,0
397,n923,Ketapril,5,45.8248809938,0
398,n923,Ketapril,10,48.791949861499994,1
399,n923,Ketapril,15,51.7387062263,1
400,n923,Ketapril,20,52.599206108000004,1
401,n923,Ketapril,25,56.85546497520001,2
402,n923,Ketapril,30,59.632560523100004,3
403,n923,Ketapril,35,60.3562943168,3
404,n923,Ketapril,40,66.22960553909999,3
405,p189,Ketapril,0,45.0,0
406,p189,Ketapril,5,49.048707041499995,1
407,p189,Ketapril,10,51.582161675600005,2
408,p189,Ketapril,15,53.6755415046,2
409,p189,Ketapril,20,56.5302044709,3
410,p189,Ketapril,25,62.108959561300004,3
411,p189,Ketapril,30,67.1045366507,4
412,p189,Ketapril,35,67.87377675180001,4
413,p189,Ketapril,40,74.10609077310001,4
414,p189,Ketapril,45,75.2949359046,4
415,h246,Ketapril,0,45.0,0
416,h246,Ketapril,5,49.470417015100004,0
417,h246,Ketapril,10,51.3688621605,1
418,h246,Ketapril,15,56.1843270149,1
419,h246,Ketapril,20,57.9359121766,1
420,h246,Ketapril,25,59.5488536968,1
421,h246,Ketapril,30,63.5996095357,1
422,h246,Ketapril,35,67.211270096,2
423,h246,Ketapril,40,71.1508346844,2
424,h246,Ketapril,45,74.1040856682,2
425,c819,Ketapril,0,45.0,0
426,c819,Ketapril,5,45.769248642200004,1
427,c819,Ketapril,10,46.6583952671,1
428,c819,Ketapril,15,48.3709991154,1
429,c819,Ketapril,20,49.7624147548,1
430,c819,Ketapril,25,51.8283570592,1
431,c819,Ketapril,30,56.0989981962,1
432,c819,Ketapril,35,57.7295346636,1
433,c819,Ketapril,40,62.175704646099994,1
434,a457,Ketapril,0,45.0,0
435,a457,Ketapril,5,47.46289099770001,0
436,a457,Ketapril,10,49.7834189373,0
437,g107,Ketapril,0,45.0,0
438,g107,Ketapril,5,48.791664955200005,0
439,g107,Ketapril,10,53.435986676400006,0
440,g107,Ketapril,15,58.1355448458,0
441,g107,Ketapril,20,62.7060314471,0
442,g107,Ketapril,25,64.6636257923,0
443,g107,Ketapril,30,69.1605198228,0
444,g107,Ketapril,35,71.9051172092,0
445,f932,Ketapril,0,45.0,0
446,y260,Ketapril,0,45.0,0
447,y260,Ketapril,5,46.79983867,0
448,y260,Ketapril,10,48.0818067794,1
449,y260,Ketapril,15,50.1961522424,2
450,y260,Ketapril,20,50.7295817393,3
451,y260,Ketapril,25,54.437561723,4
452,y260,Ketapril,30,58.5826763418,4
453,y260,Ketapril,35,59.603558210900005,4
454,y260,Ketapril,40,60.9141762702,4
455,y260,Ketapril,45,62.909440620299996,4
456,k382,Ketapril,0,45.0,0
457,k382,Ketapril,5,46.274997348,1
458,k382,Ketapril,10,50.180967626400005,1
459,k382,Ketapril,15,54.42916821359999,1
460,k382,Ketapril,20,57.8243507069,2
461,k382,Ketapril,25,59.503903917799995,3
462,k382,Ketapril,30,63.469441546400006,4
463,k382,Ketapril,35,66.079184831,4
464,k382,Ketapril,40,67.4209552138,4
465,k382,Ketapril,45,73.7156189986,4
466,c580,Ketapril,0,45.0,0
467,c580,Ketapril,5,46.628454796999996,0
468,c580,Ketapril,10,47.5701738225,1
469,c580,Ketapril,15,51.991708001800006,1
470,c580,Ketapril,20,55.575321945,2
471,c580,Ketapril,25,56.2890623117,2
472,c580,Ketapril,30,58.0465694091,3
473,w422,Ketapril,0,45.0,0
474,w422,Ketapril,5,48.45745927270001,0
475,w422,Ketapril,10,49.9359702353,0
476,w422,Ketapril,15,52.2463098495,0
477,w422,Ketapril,20,53.676243359,1
478,w422,Ketapril,25,56.9579171512,2
479,w422,Ketapril,30,60.0966346716,3
480,w422,Ketapril,35,61.4096199392,4
481,w422,Ketapril,40,63.0725846692,4
482,w422,Ketapril,45,67.9895300127,4
483,m550,Ketapril,0,45.0,0
484,m550,Ketapril,5,49.0540973629,1
485,m550,Ketapril,10,50.5480345687,2
486,m550,Ketapril,15,51.166065441499995,3
487,m550,Ketapril,20,53.7579447558,3
488,m550,Ketapril,25,57.620682368999994,4
489,m550,Ketapril,30,60.8565427184,4
490,m550,Ketapril,35,62.5391538587,4
491,m550,Ketapril,40,68.2107201909,4
492,m550,Ketapril,45,69.2535031225,4
493,v289,Ketapril,0,45.0,0
494,v289,Ketapril,5,46.204460026999996,0
495,v289,Ketapril,10,48.1334820691,0
496,v289,Ketapril,15,52.6021656439,0
497,v289,Ketapril,20,54.2500539748,0
498,v289,Ketapril,25,56.7200954451,0
499,m650,Ketapril,0,45.0,0
500,m650,Ketapril,5,48.5624949203,1
501,m650,Ketapril,10,50.9689976283,1
502,m650,Ketapril,15,53.149559331099994,1
503,m650,Ketapril,20,56.7779387968,2
504,m650,Ketapril,25,62.2535969021,2
505,m650,Ketapril,30,64.90188754729999,3
506,m650,Ketapril,35,69.2657468118,4
507,m650,Ketapril,40,70.7970678729,4
508,m650,Ketapril,45,73.9013991214,4
509,l264,Ketapril,0,45.0,0
510,l264,Ketapril,5,46.6687664579,0
511,l264,Ketapril,10,50.6595809445,0
512,o331,Ketapril,0,45.0,0
513,o331,Ketapril,5,47.0596640836,1
514,o331,Ketapril,10,50.12845481430001,1
515,o331,Ketapril,15,54.789767686800005,1
516,o331,Ketapril,20,58.9657204314,1
517,o331,Ketapril,25,61.102305748199996,1
518,o331,Ketapril,30,66.3306634729,1
519,o331,Ketapril,35,70.126237536,2
520,o331,Ketapril,40,71.4477425103,3
521,o331,Ketapril,45,78.56701362140001,4
522,c832,Ketapril,0,45.0,0
523,c832,Ketapril,5,48.6854612346,1
524,c832,Ketapril,10,49.8114126213,1
525,c832,Ketapril,15,52.8645344875,1
526,c832,Ketapril,20,56.7102335288,1
527,c832,Ketapril,25,58.8918164429,2
528,c832,Ketapril,30,60.4963757866,2
529,c832,Ketapril,35,61.124487169700004,2
530,c832,Ketapril,40,62.5723181635,2
531,c832,Ketapril,45,65.415954505,3
532,o973,Ketapril,0,45.0,0
533,o973,Ketapril,5,46.7178772684,0
534,o973,Ketapril,10,48.2457904318,0
535,o973,Ketapril,15,49.871935818500006,0
536,o973,Ketapril,20,51.9569930962,1
537,o973,Ketapril,25,53.179814707700004,1
538,o973,Ketapril,30,57.7699595186,1
539,o973,Ketapril,35,60.2422193118,1
540,o973,Ketapril,40,64.4878124585,2
541,d474,Ketapril,0,45.0,0
542,d474,Ketapril,5,45.9183522533,0
543,d474,Ketapril,10,46.974962972700006,0
544,d474,Ketapril,15,47.7779358439,0
545,d474,Ketapril,20,51.731494160299995,0
546,d474,Ketapril,25,54.2793246201,0
547,d474,Ketapril,30,55.3413415734,0
548,d474,Ketapril,35,56.47911256890001,0
549,d474,Ketapril,40,60.233732778100006,1
550,g497,Ketapril,0,45.0,0
551,g497,Ketapril,5,48.782068780799996,0
552,g497,Ketapril,10,49.6470864981,0
553,g497,Ketapril,15,53.646168043500005,1
554,g497,Ketapril,20,55.0969935585,1
555,g497,Ketapril,25,57.524446106199996,2
556,g497,Ketapril,30,61.1081859982,2
557,g497,Ketapril,35,64.0948892973,2
558,g497,Ketapril,40,67.7428140557,2
559,g497,Ketapril,45,69.87225079470001,2
560,f278,Ketapril,0,45.0,0
561,f278,Ketapril,5,48.1945778805,0
562,v603,Ketapril,0,45.0,0
563,v603,Ketapril,5,46.0160059345,0
564,v603,Ketapril,10,47.830556800699995,0
565,v603,Ketapril,15,52.1029474359,0
566,v603,Ketapril,20,53.7212419313,0
567,v603,Ketapril,25,56.0752300146,1
568,v603,Ketapril,30,57.99055377609999,1
569,v603,Ketapril,35,63.189431838599994,1
570,u327,Ketapril,0,45.0,0
571,u327,Ketapril,5,45.694188046099995,0
572,u327,Ketapril,10,49.2352594778,0
573,u327,Ketapril,15,50.6599643742,0
574,u327,Ketapril,20,53.189879068100005,0
575,u327,Ketapril,25,56.0596340925,0
576,u327,Ketapril,30,57.3140723863,0
577,u327,Ketapril,35,58.089028365,1
578,u327,Ketapril,40,60.466545411800006,1
579,u327,Ketapril,45,66.2688013293,2
580,h428,Ketapril,0,45.0,0
581,b128,Capomulin,0,45.0,0
582,b128,Capomulin,5,45.6513313083,0
583,b128,Capomulin,10,43.2708519028,0
584,b128,Capomulin,15,43.784893429600004,0
585,b128,Capomulin,20,42.7315519999,0
586,b128,Capomulin,25,43.262144827700006,1
587,b128,Capomulin,30,40.6053348648,1
588,b128,Capomulin,35,37.967644366900004,1
589,b128,Capomulin,40,38.3797259008,2
590,b128,Capomulin,45,38.9828777369,2
591,r944,Capomulin,0,45.0,0
592,r944,Capomulin,5,45.7371448423,0
593,r944,Capomulin,10,46.5442920172,0
594,r944,Capomulin,15,47.37342325109999,0
595,r944,Capomulin,20,43.225671192600004,1
596,r944,Capomulin,25,41.0869910555,1
597,r944,Capomulin,30,41.680791107,1
598,r944,Capomulin,35,40.4017654219,2
599,r944,Capomulin,40,41.042044904,2
600,r944,Capomulin,45,41.5815207362,2
601,s185,Capomulin,0,45.0,0
602,s185,Capomulin,5,43.878495686099996,0
603,s185,Capomulin,10,37.6149476787,0
604,s185,Capomulin,15,38.1772319541,0
605,s185,Capomulin,20,36.8668757626,0
606,s185,Capomulin,25,33.9499403692,0
607,s185,Capomulin,30,32.959670775999996,1
608,s185,Capomulin,35,28.32853059,1
609,s185,Capomulin,40,25.4721432616,1
610,s185,Capomulin,45,23.3435978665,1
611,w914,Capomulin,0,45.0,0
612,w914,Capomulin,5,45.893720323900006,0
613,w914,Capomulin,10,43.2319627458,0
614,w914,Capomulin,15,43.688448926599996,0
615,w914,Capomulin,20,41.108092328000005,0
616,w914,Capomulin,25,40.2919166099,0
617,w914,Capomulin,30,40.99311013,0
618,w914,Capomulin,35,41.6649157736,1
619,w914,Capomulin,40,35.6113086052,2
620,w914,Capomulin,45,36.0410473598,2
621,l897,Capomulin,0,45.0,0
622,l897,Capomulin,5,45.462243267299996,0
623,l897,Capomulin,10,46.154737213699995,0
624,l897,Capomulin,15,44.0615213987,0
625,l897,Capomulin,20,44.813093430600006,0
626,l897,Capomulin,25,45.3546791646,0
627,l897,Capomulin,30,39.3527920101,1
628,l897,Capomulin,35,37.682766641,1
629,l897,Capomulin,40,38.3439015408,1
